head,relation,tail
mhtr0,Region_Nearby,mhtr47
mhtr0,Region_Nearby,mhtr62
mhtr0,Region_Nearby,mhtr110
mhtr0,Region_Nearby,mhtr118
mhtr0,Region_Nearby,mhtr120
zzy-27n@627-s8n-6kz,POI_RegionOf,mhtr36
22k-22c@627-s8k-2x5,POI_RegionOf,mhtr110
224-223@627-s4v-mff,POI_RegionOf,mhtr151
22q-222@627-s8r-c89,POI_RegionOf,mhtr62
227-222@627-s4n-v4v,poi_cate1Of_cate,2
225-229@627-s8h-td9,poi_cate1Of_cate,58
222-225@627-s8j-gc5,poi_cate1Of_cate,2
zzw-228@627-s4n-2p9,poi_cate1Of_cate,26
228-222@627-s8k-3dv,poi_brandof_brand,SG_BRAND_b276db333537c66ca679a08db0547130
222-224@627-s8h-w6k,poi_brandof_brand,SG_BRAND_94b57ad867888524e614850d9a4645df
zzy-224@627-s8j-6p9,poi_brandof_brand,SG_BRAND_2d6c71821cb1cb826553dd9503d4eb20
22c-222@627-s4v-3nq,poi_brandof_brand,SG_BRAND_828bf870d4d7227c8c54c013e3649586
j79505,Junction_Regionof,mhtr19
j79506,Junction_Regionof,mhtr19
j79522,Junction_Regionof,mhtr119
j264,junction_hascate_junccate,jc3
j265,junction_hascate_junccate,jc3
j269,junction_hascate_junccate,jc3
r96845,Road_Regionof,mhtr50
r96843,Road_Regionof,mhtr23
r96839,Road_Regionof,mhtr126
r96838,Road_Regionof,mhtr58
r13,road_hascate_roadcate,rt1
r12,road_hascate_roadcate,rt2
r11,road_hascate_roadcate,rt2